"station","hour","output","input","net","lon","lat","type","loctype","address","north","south","east","west","postal_code","country","administrative_area_level_2","administrative_area_level_1","locality","street","streetNo","point_of_interest","query"
"10th & E St NW","05",0,1,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","04",0,1,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","18",2,2,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","17",6,3,-3,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","21",2,0,-2,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","03",0,1,0,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & E St NW","06",0,1,1,-77.0259991,38.8961162,"intersection","approximate","e street northwest & 10th street northwest, washington, dc 20004, usa",38.8974651802915,38.8947672197085,-77.0246501197085,-77.0273480802915,"20004","united states",,"district of columbia","washington","e street northwest",,,"10th+and+E+St+NW,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","16",0,2,2,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","09",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","22",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","02",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","14",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
